City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Margate,GB,2021-07-28 17:57:09,51.3813,1.3862,66.87,57,25,8.01
67,Manica,FR,2021-07-28 17:57:09,49.0,-1.1667,67.41,67,81,10.65
68,Novyy Urengoy,RU,2021-07-28 17:57:10,66.0833,76.6333,54.19,84,97,10.85
69,Luanda,AO,2021-07-28 17:57:10,-8.8368,13.2343,77.0,69,0,9.22
70,Pangnirtung,CA,2021-07-28 17:57:10,66.1451,-65.7125,53.6,62,75,14.97
71,Rio Gallegos,AR,2021-07-28 17:57:11,-51.6226,-69.2181,46.45,81,75,3.44
72,Mpulungu,ZM,2021-07-28 17:57:11,-8.7623,31.1141,73.67,43,13,5.06
73,Ampanihy,MG,2021-07-28 17:57:12,-24.7,44.75,65.61,79,50,11.1
74,Trinidad,BO,2021-07-28 17:57:12,-14.8333,-64.9,67.98,40,75,18.41
75,Langres,FR,2021-07-28 17:57:12,47.8333,5.3333,70.65,81,42,7.87
76,Opole,PL,2021-07-28 17:57:13,50.5,18.0,75.58,81,90,7.49
77,Orapa,BW,2021-07-28 17:57:13,-21.2833,25.3667,55.81,43,0,4.23
78,Shemysheyka,RU,2021-07-28 17:57:13,52.892,45.3928,68.56,59,85,3.71
79,Sao Filipe,CV,2021-07-28 17:57:14,14.8961,-24.4956,76.21,75,59,11.65
80,Asfi,MA,2021-07-28 17:57:14,32.2994,-9.2372,75.16,71,7,19.84
81,Marabba,SD,2021-07-28 17:57:15,12.35,32.1833,81.21,66,100,8.12
82,Westport,US,2021-07-28 17:54:37,41.1415,-73.3579,82.74,56,2,1.01
83,Bengkulu,ID,2021-07-28 17:57:15,-3.8004,102.2655,75.18,84,85,4.65
84,Boralday,KZ,2021-07-28 17:57:16,43.3578,76.8594,69.66,43,40,4.47
85,Fairhope,US,2021-07-28 17:57:16,30.523,-87.9033,94.77,63,1,3.44
86,Mazamari,PE,2021-07-28 17:57:16,-11.3258,-74.5308,87.12,46,94,3.38
